Name,Price,Type,Size,Latitude,Longitude,GPS_Text,URL,NearestCity,NearestCityLat,NearestCityLon,DistanceMiles,SizeAcres,Size_km2
Brook Meadow,"£145,000",Freehold,nearly 6 ¼ acres,51.1898,-4.15278,"GPS coordinates: 51.1898, -4.15278",https://www.woodlands.co.uk/buying-a-wood/planting-land-south-west/brook-meadow,Llanelli,51.684,-4.163,34.149,6.25,0.02529285264
Merriment Meadow,"£59,000",Freehold,about 3 ½ acres,51.0512,-4.13758,"GPS coordinates: 51.0512, -4.13758",https://www.woodlands.co.uk/buying-a-wood/planting-land-south-west/merriment-meadow,Llanelli,51.684,-4.163,43.736,3.5,0.0141639974784
Spenser Meadow,"£55,000",Freehold,about 3 ¼ acres,51.0512,-4.1386,"GPS coordinates: 51.0512, -4.1386",https://www.woodlands.co.uk/buying-a-wood/planting-land-south-west/spenser-meadow,Llanelli,51.684,-4.163,43.735,3.25,0.0131522833728
Allt Foel-fawr,"£139,000",Freehold,16 acres,51.9056,-4.3412,"GPS coordinates: 51.9056, -4.3412",https://www.woodlands.co.uk/buying-a-wood/west-and-south-wales/allt-foel-fawr,Llanelli,51.684,-4.163,17.1,16.0,0.0647497027584
Allt Dwyrain,"£49,000",Freehold,5¾ acres,51.904,-4.343,"GPS coordinates: 51.904, -4.343",https://www.woodlands.co.uk/buying-a-wood/west-and-south-wales/allt-dwyrain,Llanelli,51.684,-4.163,17.036,5.75,0.0232694244288
Allt Blaen-Eigiau,"£65,000",Freehold,nearly 6 acres,51.9077,-4.348,"GPS coordinates: 51.9077, -4.348",https://www.woodlands.co.uk/buying-a-wood/west-and-south-wales/allt-blaen-eigiau,Llanelli,51.684,-4.163,17.361,6.0,0.0242811385344
Mere Brow Wood,"£186,000",Freehold,almost 13 acres,53.6531,-2.87796,"GPS coordinates: 53.6531, -2.87796",https://www.woodlands.co.uk/buying-a-wood/northern-england/mere-brow-wood,Chorley,53.653,-2.632,10.072,13.0,0.0526091334912
Worthy Wood,"£95,000",Freehold,about 5 acres,50.7622,-3.9734,"GPS coordinates: 50.7622, -3.9734",https://www.woodlands.co.uk/buying-a-wood/devon/worthy-wood,Plymouth,50.3714,-4.1422,27.999,5.0,0.020234282112
Coed Lind,"£55,000",Freehold,almost 5½ acres,51.906,-4.352,"GPS coordinates: 51.906, -4.352",https://www.woodlands.co.uk/buying-a-wood/west-and-south-wales/coed-lind,Llanelli,51.684,-4.163,17.335,5.5,0.0222577103232
Dôl Twyi,"£79,000",Freehold,5 acres,51.787,-4.375,"GPS coordinates: 51.787, -4.375",https://www.woodlands.co.uk/buying-a-wood/west-and-south-wales/dl-twyi,Llanelli,51.684,-4.163,11.53,5.0,0.020234282112
Coed Glyncoch,"£99,000",Freehold,10¾ acres,51.81,-4.417,"GPS coordinates: 51.81, -4.417",https://www.woodlands.co.uk/buying-a-wood/west-and-south-wales/coed-glyncoch,Llanelli,51.684,-4.163,13.923,10.75,0.0435037065408
Allt Tre-hyrn,"£139,000",Freehold,13¾ acres,51.808,-4.421,"GPS coordinates: 51.808, -4.421",https://www.woodlands.co.uk/buying-a-wood/west-and-south-wales/allt-tre-hyrn,Llanelli,51.684,-4.163,13.972,13.75,0.055644275808
Coed Hendre,"£175,000",Freehold,15 acres,51.798,-4.422,"GPS coordinates: 51.798, -4.422",https://www.woodlands.co.uk/buying-a-wood/west-and-south-wales/coed-hendre,Llanelli,51.684,-4.163,13.595,15.0,0.060702846336
Coed Trehyrne,"£59,000",Freehold,4¼ acres,51.803,-4.423,"GPS coordinates: 51.803, -4.423",https://www.woodlands.co.uk/buying-a-wood/west-and-south-wales/coed-trehyrne,Llanelli,51.684,-4.163,13.832,4.25,0.0171991397952
Polehays Meadow,"£65,000",Freehold,around 3 ½ acres,50.7606,-4.09936,"GPS coordinates: 50.7606, -4.09936",https://www.woodlands.co.uk/buying-a-wood/planting-land-south-west/polehays-meadow,Plymouth,50.3714,-4.1422,26.957,3.5,0.0141639974784
Barton Meadow,"£85,000",Freehold,over 5 ⅓ acres,50.7615,-4.10027,"GPS coordinates: 50.7615, -4.10027",https://www.woodlands.co.uk/buying-a-wood/planting-land-south-west/barton-meadow,Plymouth,50.3714,-4.1422,27.016,5.333333333333333,0.0215832342528
Coed Castell (Castle Wood),"£29,000",Leasehold,3 ¼ acres,53.298,-3.7515,"GPS coordinates: 53.298, -3.7515",https://www.woodlands.co.uk/buying-a-wood/north-wales/coed-castell-castle-wood,Rhyl,53.321,-3.48,11.32,3.25,0.0131522833728
Coed Euryn,"£29,000",Leasehold,2¾ acres,53.2978,-3.7532,"GPS coordinates: 53.2978, -3.7532",https://www.woodlands.co.uk/buying-a-wood/north-wales/coed-euryn,Rhyl,53.321,-3.48,11.392,2.75,0.0111288551616
Coed Cilwendeg,"£35,000",Freehold,just over 2 acres,52.037,-4.571,"GPS coordinates: 52.037, -4.571",https://www.woodlands.co.uk/buying-a-wood/west-and-south-wales/coed-cilwendeg,Llanelli,51.684,-4.163,29.966,2.0,0.0080937128448
Coed Sena,"£69,000",Freehold,just over 5 acres,52.038,-4.571,"GPS coordinates: 52.038, -4.571",https://www.woodlands.co.uk/buying-a-wood/west-and-south-wales/coed-sena,Llanelli,51.684,-4.163,30.022,5.0,0.020234282112
Trehele Copse & Meadow,"£89,000",Freehold,about 4 ¼ acres,50.3378,-3.85345,"GPS coordinates: 50.3378, -3.85345",https://www.woodlands.co.uk/buying-a-wood/devon/trehele-copse-meadow,Plymouth,50.3714,-4.1422,12.939,4.25,0.0171991397952
