Name,Price,Type,Size,Latitude,Longitude,GPS_Text,URL,NearestCity,NearestCityLat,NearestCityLon,DistanceMiles
South Newdigate Wood,"£89,000",Freehold,5 acres,51.1375,-0.252537,"GPS coordinates: 51.1375, -0.252537",https://www.woodlands.co.uk/buying-a-wood/south-east-england/south-newdigate-wood,Coulsdon,51.3211,-0.1386,13.61
South Longfield Wood,"£65,000",Freehold,3 ½ acres,51.1371,-0.254081,"GPS coordinates: 51.1371, -0.254081",https://www.woodlands.co.uk/buying-a-wood/south-east-england/south-longfield-wood,Coulsdon,51.3211,-0.1386,13.66
Hillfort Wood,"£85,000",Freehold,over 5½ acres,51.1714,0.29588,"GPS coordinates: 51.1714, 0.29588",https://www.woodlands.co.uk/buying-a-wood/south-east-england/hillfort-wood,Royal Tunbridge Wells,51.132,0.263,3.073
Dew Meadow,"£79,000",Freehold,about 2 ¾ acres,50.9544,-0.514037,"GPS coordinates: 50.9544, -0.514037",https://www.woodlands.co.uk/buying-a-wood/south-east-england/dew-meadow,Littlehampton,50.8094,-0.5409,10.087
Clydesdale Wood,"£79,000",Freehold,5 ¾ acres,51.3159,0.590239,"GPS coordinates: 51.3159, 0.590239",https://www.woodlands.co.uk/buying-a-wood/south-east-england/clydesdale-wood,Rainham,51.36,0.61,3.164
Axil Wood,"£109,000",Freehold,about 4 acres,51.1244,-1.37518,"GPS coordinates: 51.1244, -1.37518",https://www.woodlands.co.uk/buying-a-wood/central-england/axil-wood,Andover,51.208,-1.48,7.348
Brockley Wood,"£99,000",Freehold,about 3 ⅔ acres,51.125,-1.37655,"GPS coordinates: 51.125, -1.37655",https://www.woodlands.co.uk/buying-a-wood/central-england/brockley-wood,Andover,51.208,-1.48,7.278
Monkswood Wood,"£95,000",Freehold,about 6 acres,51.2502,0.638054,"GPS coordinates: 51.2502, 0.638054",https://www.woodlands.co.uk/buying-a-wood/south-east-england/monkswood-wood,Maidstone,51.272,0.529,4.95
Crossing Wood,"£85,000",Freehold,3 acres,51.0877,0.395163,"GPS coordinates: 51.0877, 0.395163",https://www.woodlands.co.uk/buying-a-wood/south-east-england/crossing-wood,Royal Tunbridge Wells,51.132,0.263,6.499
Dado Wood,"£89,000",Freehold,3 ½ acres,51.0882,0.397135,"GPS coordinates: 51.0882, 0.397135",https://www.woodlands.co.uk/buying-a-wood/south-east-england/dado-wood,Royal Tunbridge Wells,51.132,0.263,6.559
Groove Wood,"£109,000",Freehold,about 5 ½ acres,51.0869,0.396211,"GPS coordinates: 51.0869, 0.396211",https://www.woodlands.co.uk/buying-a-wood/south-east-england/groove-wood,Royal Tunbridge Wells,51.132,0.263,6.565
Gliding Wood,"£79,000",Freehold,4 acres,51.0872,0.399025,"GPS coordinates: 51.0872, 0.399025",https://www.woodlands.co.uk/buying-a-wood/south-east-england/gliding-wood,Royal Tunbridge Wells,51.132,0.263,6.663
Sudbury Wood,"£85,000",Freehold,about 4 acres,51.9536,0.902063,"GPS coordinates: 51.9536, 0.902063",https://www.woodlands.co.uk/buying-a-wood/east-anglia/sudbury-wood,Colchester,51.8917,0.903,4.277
St. Martins Wood,"£79,000",Freehold,about 3 ½ acres,51.9519,0.903203,"GPS coordinates: 51.9519, 0.903203",https://www.woodlands.co.uk/buying-a-wood/east-anglia/st-martins-wood,Colchester,51.8917,0.903,4.159
Lake View Wood,"£49,000",Freehold,nearly 2 acres,51.9543,0.90493,"GPS coordinates: 51.9543, 0.90493",https://www.woodlands.co.uk/buying-a-wood/east-anglia/lake-view-wood,Colchester,51.8917,0.903,4.326
Staggard Wood,"£69,000",Freehold,about 3 acres,51.9548,0.905509,"GPS coordinates: 51.9548, 0.905509",https://www.woodlands.co.uk/buying-a-wood/east-anglia/staggard-wood,Colchester,51.8917,0.903,4.361
Finesteda Wood,"£165,000",Freehold,about 8 ⅓ acres,51.9549,0.907801,"GPS coordinates: 51.9549, 0.907801",https://www.woodlands.co.uk/buying-a-wood/east-anglia/finesteda-wood,Colchester,51.8917,0.903,4.371
Soames Meadow,"£135,000",Freehold,about 6 ¾ acres,51.0769,0.559729,"GPS coordinates: 51.0769, 0.559729",https://www.woodlands.co.uk/buying-a-wood/planting-land-south-east/soames-meadow,Royal Tunbridge Wells,51.132,0.263,13.424
Arris Wood,"£145,000",Freehold,7 ½ acres,51.0932,0.619193,"GPS coordinates: 51.0932, 0.619193",https://www.woodlands.co.uk/buying-a-wood/south-east-england/arris-wood,Maidstone,51.272,0.529,12.957
Lens Wood,"£65,000",Freehold,3 ¼ acres,51.092,0.621184,"GPS coordinates: 51.092, 0.621184",https://www.woodlands.co.uk/buying-a-wood/south-east-england/lens-wood,Maidstone,51.272,0.529,13.062
Tassel Meadow,"£75,000",Freehold,over 3 ¾ acres,51.0889,0.634163,"GPS coordinates: 51.0889, 0.634163",https://www.woodlands.co.uk/buying-a-wood/planting-land-south-east/tassel-meadow,Maidstone,51.272,0.529,13.446
